INFO     Round   0 || Average train loss 0.082 || Average test loss 10.180 || Average test accuracy 19.192
INFO     Round   1 || Average train loss 0.065 || Average test loss 7.963 || Average test accuracy 19.848
INFO     Round   2 || Average train loss 0.040 || Average test loss 6.728 || Average test accuracy 20.612
INFO     Round   3 || Average train loss 0.036 || Average test loss 5.776 || Average test accuracy 20.672
INFO     Round   4 || Average train loss 0.026 || Average test loss 5.667 || Average test accuracy 21.383
INFO     Round   5 || Average train loss 0.019 || Average test loss 5.187 || Average test accuracy 20.681
INFO     Round   6 || Average train loss 0.034 || Average test loss 3.957 || Average test accuracy 27.850
INFO     Round   7 || Average train loss 0.025 || Average test loss 4.005 || Average test accuracy 27.280
INFO     Round   8 || Average train loss 0.028 || Average test loss 3.246 || Average test accuracy 32.582
INFO     Round   9 || Average train loss 0.017 || Average test loss 3.310 || Average test accuracy 31.040
INFO     Round  10 || Average train loss 0.012 || Average test loss 2.672 || Average test accuracy 40.240
INFO     Round  11 || Average train loss 0.009 || Average test loss 3.013 || Average test accuracy 43.783
INFO     Round  12 || Average train loss 0.018 || Average test loss 2.753 || Average test accuracy 41.853
INFO     Round  13 || Average train loss 0.015 || Average test loss 1.885 || Average test accuracy 52.528
INFO     Round  14 || Average train loss 0.013 || Average test loss 2.232 || Average test accuracy 49.709
INFO     Round  15 || Average train loss 0.015 || Average test loss 2.240 || Average test accuracy 48.207
INFO     Round  16 || Average train loss 0.016 || Average test loss 2.101 || Average test accuracy 48.802
INFO     Round  17 || Average train loss 0.016 || Average test loss 1.750 || Average test accuracy 56.818
INFO     Round  18 || Average train loss 0.013 || Average test loss 1.745 || Average test accuracy 56.810
INFO     Round  19 || Average train loss 0.013 || Average test loss 1.813 || Average test accuracy 53.896
INFO     Round  20 || Average train loss 0.014 || Average test loss 1.605 || Average test accuracy 59.847
INFO     Round  21 || Average train loss 0.008 || Average test loss 1.189 || Average test accuracy 66.356
INFO     Round  22 || Average train loss 0.010 || Average test loss 1.886 || Average test accuracy 56.010
INFO     Round  23 || Average train loss 0.014 || Average test loss 1.701 || Average test accuracy 59.998
INFO     Round  24 || Average train loss 0.009 || Average test loss 1.390 || Average test accuracy 64.339
INFO     Round  25 || Average train loss 0.009 || Average test loss 1.232 || Average test accuracy 67.574
INFO     Round  26 || Average train loss 0.009 || Average test loss 1.359 || Average test accuracy 64.111
INFO     Round  27 || Average train loss 0.005 || Average test loss 1.325 || Average test accuracy 66.356
INFO     Round  28 || Average train loss 0.005 || Average test loss 1.472 || Average test accuracy 65.283
INFO     Round  29 || Average train loss 0.010 || Average test loss 1.113 || Average test accuracy 71.761
INFO     Round  30 || Average train loss 0.007 || Average test loss 1.515 || Average test accuracy 66.023
INFO     Round  31 || Average train loss 0.006 || Average test loss 1.017 || Average test accuracy 72.494
INFO     Round  32 || Average train loss 0.009 || Average test loss 1.855 || Average test accuracy 63.462
INFO     Round  33 || Average train loss 0.013 || Average test loss 1.565 || Average test accuracy 65.637
INFO     Round  34 || Average train loss 0.008 || Average test loss 0.969 || Average test accuracy 74.571
INFO     Round  35 || Average train loss 0.011 || Average test loss 1.057 || Average test accuracy 71.501
INFO     Round  36 || Average train loss 0.006 || Average test loss 1.323 || Average test accuracy 68.749
INFO     Round  37 || Average train loss 0.009 || Average test loss 1.525 || Average test accuracy 62.730
