INFO     Round   0 || Average train loss 0.099 || Average test loss 8.049 || Average test accuracy 19.588
INFO     Round   1 || Average train loss 0.058 || Average test loss 7.938 || Average test accuracy 20.267
INFO     Round   2 || Average train loss 0.039 || Average test loss 6.780 || Average test accuracy 19.929
INFO     Round   3 || Average train loss 0.037 || Average test loss 5.913 || Average test accuracy 21.128
INFO     Round   4 || Average train loss 0.019 || Average test loss 4.996 || Average test accuracy 21.051
INFO     Round   5 || Average train loss 0.022 || Average test loss 4.567 || Average test accuracy 23.007
INFO     Round   6 || Average train loss 0.023 || Average test loss 3.798 || Average test accuracy 25.645
INFO     Round   7 || Average train loss 0.018 || Average test loss 3.757 || Average test accuracy 29.689
INFO     Round   8 || Average train loss 0.018 || Average test loss 3.074 || Average test accuracy 36.140
INFO     Round   9 || Average train loss 0.023 || Average test loss 3.050 || Average test accuracy 35.397
INFO     Round  10 || Average train loss 0.017 || Average test loss 2.718 || Average test accuracy 39.845
INFO     Round  11 || Average train loss 0.013 || Average test loss 2.238 || Average test accuracy 46.517
INFO     Round  12 || Average train loss 0.015 || Average test loss 2.373 || Average test accuracy 45.641
INFO     Round  13 || Average train loss 0.012 || Average test loss 2.100 || Average test accuracy 48.498
INFO     Round  14 || Average train loss 0.011 || Average test loss 1.925 || Average test accuracy 53.031
INFO     Round  15 || Average train loss 0.010 || Average test loss 1.870 || Average test accuracy 54.789
INFO     Round  16 || Average train loss 0.008 || Average test loss 1.692 || Average test accuracy 58.679
INFO     Round  17 || Average train loss 0.018 || Average test loss 1.767 || Average test accuracy 55.453
INFO     Round  18 || Average train loss 0.011 || Average test loss 1.450 || Average test accuracy 62.460
INFO     Round  19 || Average train loss 0.012 || Average test loss 1.652 || Average test accuracy 58.836
INFO     Round  20 || Average train loss 0.010 || Average test loss 1.552 || Average test accuracy 62.860
INFO     Round  21 || Average train loss 0.010 || Average test loss 1.381 || Average test accuracy 64.675
INFO     Round  22 || Average train loss 0.011 || Average test loss 1.385 || Average test accuracy 64.684
INFO     Round  23 || Average train loss 0.010 || Average test loss 1.207 || Average test accuracy 67.539
INFO     Round  24 || Average train loss 0.010 || Average test loss 1.423 || Average test accuracy 62.936
INFO     Round  25 || Average train loss 0.010 || Average test loss 1.007 || Average test accuracy 71.760
INFO     Round  26 || Average train loss 0.009 || Average test loss 1.202 || Average test accuracy 69.429
INFO     Round  27 || Average train loss 0.007 || Average test loss 1.229 || Average test accuracy 68.743
INFO     Round  28 || Average train loss 0.007 || Average test loss 1.156 || Average test accuracy 70.630
INFO     Round  29 || Average train loss 0.008 || Average test loss 1.321 || Average test accuracy 68.177
INFO     Round  30 || Average train loss 0.010 || Average test loss 1.274 || Average test accuracy 67.592
INFO     Round  31 || Average train loss 0.007 || Average test loss 1.081 || Average test accuracy 72.873
INFO     Round  32 || Average train loss 0.008 || Average test loss 1.146 || Average test accuracy 71.267
INFO     Round  33 || Average train loss 0.010 || Average test loss 1.206 || Average test accuracy 68.447
INFO     Round  34 || Average train loss 0.006 || Average test loss 1.076 || Average test accuracy 72.829
INFO     Round  35 || Average train loss 0.007 || Average test loss 1.038 || Average test accuracy 73.679
INFO     Round  36 || Average train loss 0.005 || Average test loss 1.160 || Average test accuracy 70.760
INFO     Round  37 || Average train loss 0.012 || Average test loss 1.252 || Average test accuracy 68.211
INFO     Round  38 || Average train loss 0.006 || Average test loss 0.917 || Average test accuracy 75.481
INFO     Round  39 || Average train loss 0.007 || Average test loss 0.974 || Average test accuracy 74.658
INFO     Round  40 || Average train loss 0.007 || Average test loss 1.262 || Average test accuracy 68.954
INFO     Round  41 || Average train loss 0.007 || Average test loss 0.957 || Average test accuracy 74.907
INFO     Round  42 || Average train loss 0.008 || Average test loss 0.978 || Average test accuracy 74.119
INFO     Round  43 || Average train loss 0.006 || Average test loss 1.046 || Average test accuracy 74.243
INFO     Round  44 || Average train loss 0.008 || Average test loss 0.821 || Average test accuracy 77.199
INFO     Round  45 || Average train loss 0.007 || Average test loss 0.736 || Average test accuracy 79.962
INFO     Round  46 || Average train loss 0.006 || Average test loss 0.802 || Average test accuracy 78.653
INFO     Round  47 || Average train loss 0.008 || Average test loss 0.900 || Average test accuracy 75.945
INFO     Round  48 || Average train loss 0.005 || Average test loss 0.665 || Average test accuracy 80.863
INFO     Round  49 || Average train loss 0.005 || Average test loss 0.946 || Average test accuracy 75.522
INFO     Round  50 || Average train loss 0.006 || Average test loss 0.837 || Average test accuracy 78.618
INFO     Round  51 || Average train loss 0.005 || Average test loss 0.805 || Average test accuracy 78.576
INFO     Round  52 || Average train loss 0.007 || Average test loss 0.995 || Average test accuracy 74.494
INFO     Round  53 || Average train loss 0.005 || Average test loss 0.660 || Average test accuracy 81.722
INFO     Round  54 || Average train loss 0.007 || Average test loss 0.849 || Average test accuracy 77.080
INFO     Round  55 || Average train loss 0.008 || Average test loss 0.804 || Average test accuracy 77.839
INFO     Round  56 || Average train loss 0.007 || Average test loss 0.961 || Average test accuracy 74.725
INFO     Round  57 || Average train loss 0.005 || Average test loss 0.692 || Average test accuracy 80.729
INFO     Round  58 || Average train loss 0.004 || Average test loss 0.714 || Average test accuracy 80.017
INFO     Round  59 || Average train loss 0.006 || Average test loss 0.786 || Average test accuracy 79.550
INFO     Round  60 || Average train loss 0.004 || Average test loss 0.756 || Average test accuracy 80.758
INFO     Round  61 || Average train loss 0.005 || Average test loss 0.710 || Average test accuracy 80.615
INFO     Round  62 || Average train loss 0.004 || Average test loss 0.830 || Average test accuracy 78.482
INFO     Round  63 || Average train loss 0.007 || Average test loss 0.668 || Average test accuracy 83.026
INFO     Round  64 || Average train loss 0.005 || Average test loss 0.789 || Average test accuracy 79.718
INFO     Round  65 || Average train loss 0.008 || Average test loss 0.751 || Average test accuracy 79.806
INFO     Round  66 || Average train loss 0.006 || Average test loss 0.690 || Average test accuracy 81.233
INFO     Round  67 || Average train loss 0.006 || Average test loss 0.790 || Average test accuracy 79.757
INFO     Round  68 || Average train loss 0.009 || Average test loss 0.702 || Average test accuracy 81.107
INFO     Round  69 || Average train loss 0.006 || Average test loss 0.700 || Average test accuracy 80.964
INFO     Round  70 || Average train loss 0.005 || Average test loss 0.629 || Average test accuracy 82.506
INFO     Round  71 || Average train loss 0.005 || Average test loss 0.666 || Average test accuracy 81.697
INFO     Round  72 || Average train loss 0.003 || Average test loss 0.644 || Average test accuracy 82.391
INFO     Round  73 || Average train loss 0.004 || Average test loss 0.607 || Average test accuracy 82.890
INFO     Round  74 || Average train loss 0.007 || Average test loss 0.695 || Average test accuracy 81.520
INFO     Round  75 || Average train loss 0.005 || Average test loss 0.522 || Average test accuracy 85.497
INFO     Round  76 || Average train loss 0.008 || Average test loss 0.700 || Average test accuracy 82.330
INFO     Round  77 || Average train loss 0.004 || Average test loss 0.660 || Average test accuracy 82.129
INFO     Round  78 || Average train loss 0.006 || Average test loss 0.615 || Average test accuracy 82.785
INFO     Round  79 || Average train loss 0.004 || Average test loss 0.598 || Average test accuracy 83.300
